ReviewId,NumOfCur,NumOfIncur
1002496,2,0,1.000000,0.000000
1001480,0,3,0.000000,1.000000
1001491,1,0,1.000000,0.000000
1002160,10,5,0.666667,0.333333
1002161,2,0,1.000000,0.000000
1001516,2,0,1.000000,0.000000
1002341,0,2,0.000000,1.000000
1001530,0,1,0.000000,1.000000
1002273,2,0,1.000000,0.000000
1001538,1,1,0.500000,0.500000
1002167,3,0,1.000000,0.000000
1001549,3,4,0.428571,0.571429
1001554,3,3,0.500000,0.500000
1001556,0,1,0.000000,1.000000
1002169,451,103,0.814079,0.185921
1001566,1,0,1.000000,0.000000
1001567,1,0,1.000000,0.000000
1001572,33,19,0.634615,0.365385
1002172,1,0,1.000000,0.000000
1002176,45,17,0.725806,0.274194
1002859,0,1,0.000000,1.000000
1001604,4,0,1.000000,0.000000
1001611,2,0,1.000000,0.000000
1001612,7,0,1.000000,0.000000
1001616,13,1,0.928571,0.071429
1002520,1,0,1.000000,0.000000
1001619,0,1,0.000000,1.000000
1001623,16,3,0.842105,0.157895
1002180,2,0,1.000000,0.000000
1002182,1,0,1.000000,0.000000
1002866,3,0,1.000000,0.000000
1002184,38,16,0.703704,0.296296
1001653,2,0,1.000000,0.000000
1001656,2,1,0.666667,0.333333
1001661,1,0,1.000000,0.000000
1001663,1,0,1.000000,0.000000
1002528,0,1,0.000000,1.000000
1001505,0,1,0.000000,1.000000
1001682,22,2,0.916667,0.083333
1001690,1,1,0.500000,0.500000
1002191,1,0,1.000000,0.000000
1001692,3,0,1.000000,0.000000
1001697,17,10,0.629630,0.370370
1002279,4,3,0.571429,0.428571
1001716,1,0,1.000000,0.000000
1002576,2,0,1.000000,0.000000
1001740,5,4,0.555556,0.444444
1002280,0,3,0.000000,1.000000
1001746,4,2,0.666667,0.333333
1002144,4,2,0.666667,0.333333
1001764,1,3,0.250000,0.750000
1001768,4,1,0.800000,0.200000
1002281,1,0,1.000000,0.000000
1001775,98,38,0.720588,0.279412
1002145,0,1,0.000000,1.000000
1001796,11,6,0.647059,0.352941
1002209,1,0,1.000000,0.000000
1001802,1,0,1.000000,0.000000
1002211,1,0,1.000000,0.000000
1002553,2,0,1.000000,0.000000
1002215,2,0,1.000000,0.000000
1001836,5,2,0.714286,0.285714
1001840,1,0,1.000000,0.000000
1001846,14,8,0.636364,0.363636
